name1|name2
B cell mediated immunity|peripheral B cell tolerance induction
B cell mediated immunity|immunoglobulin mediated immune response
antibacterial humoral response|male-specific antibacterial humoral response
antibacterial humoral response|induction of bacterial agglutination
antigen processing and presentation|B cell antigen processing and presentation
antigen processing and presentation|T cell antigen processing and presentation
antigen processing and presentation|dendritic cell antigen processing and presentation
antigen processing and presentation|monocyte antigen processing and presentation
antigen processing and presentation|macrophage antigen processing and presentation
antigen processing and presentation|non-professional antigen presenting cell antigen processing and presentation
antigen processing and presentation|antigen processing and presentation via MHC class Ib
antigen processing and presentation|antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
antigen processing and presentation|antigen processing and presentation initiated by receptor mediated uptake of antigen
antigen processing and presentation|antigen processing and presentation following pinocytosis
antigen processing and presentation|antigen processing and presentation following phagocytosis
antigen processing and presentation|antigen processing and presentation of endogenous antigen
antigen processing and presentation|antigen processing and presentation of exogenous antigen
antigen processing and presentation|antigen processing and presentation of peptide antigen
antigen processing and presentation of endogenous antigen|antigen processing and presentation of endogenous peptide antigen
antigen processing and presentation of endogenous antigen|antigen processing and presentation, endogenous lipid antigen via MHC class Ib
antigen processing and presentation of exogenous antigen|antigen processing and presentation of exogenous peptide antigen
antigen processing and presentation of exogenous antigen|antigen processing and presentation, exogenous lipid antigen via MHC class Ib
antigen processing and presentation of endogenous peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway
antigen processing and presentation of endogenous peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen via MHC class I via endolysosomal pathway
lymphocyte differentiation|natural killer cell differentiation
lymphocyte differentiation|B cell differentiation
lymphocyte differentiation|T cell differentiation
natural killer cell activation|natural killer cell differentiation
natural killer cell activation|natural killer cell proliferation
natural killer cell activation|natural killer cell activation involved in immune response
B cell differentiation|immature B cell differentiation
B cell differentiation|mature B cell differentiation
T cell differentiation|T cell differentiation involved in immune response
T cell differentiation|T cell differentiation in thymus
T cell differentiation|extrathymic T cell differentiation
T cell differentiation|gamma-delta T cell differentiation
T cell differentiation|cytotoxic T cell differentiation
T cell differentiation|regulatory T cell differentiation
T cell differentiation|alpha-beta T cell differentiation
leukocyte chemotaxis|leukocyte chemotaxis involved in inflammatory response
leukocyte chemotaxis|leukocyte chemotaxis involved in immune response
leukocyte chemotaxis|dendritic cell chemotaxis
leukocyte chemotaxis|monocyte chemotaxis
leukocyte chemotaxis|mast cell chemotaxis
leukocyte chemotaxis|macrophage chemotaxis
leukocyte chemotaxis|lymphocyte chemotaxis
leukocyte chemotaxis|granulocyte chemotaxis
lymphocyte costimulation|T cell costimulation
lymphocyte costimulation|B cell costimulation
T cell costimulation|CD4-positive, alpha-beta T cell costimulation
T cell differentiation in thymus|DN2 thymocyte differentiation
T cell differentiation in thymus|DN3 thymocyte differentiation
T cell differentiation in thymus|DN4 thymocyte differentiation
immature T cell proliferation|immature T cell proliferation in thymus
V(D)J recombination|immunoglobulin V(D)J recombination
V(D)J recombination|T cell receptor V(D)J recombination
immunoglobulin V(D)J recombination|immunoglobulin heavy chain V-D-J recombination
immunoglobulin V(D)J recombination|immunoglobulin light chain V-J recombination
toll-like receptor 2 signaling pathway|MyD88-dependent toll-like receptor 2 signaling pathway
toll-like receptor 4 signaling pathway|MyD88-dependent toll-like receptor 4 signaling pathway
toll-like receptor 4 signaling pathway|TIRAP-dependent toll-like receptor 4 signaling pathway
toll-like receptor 4 signaling pathway|TRIF-dependent toll-like receptor 4 signaling pathway
toll-like receptor 4 signaling pathway|TRAM-dependent toll-like receptor 4 signaling pathway
melanization defense response|melanotic encapsulation of foreign target
encapsulation of foreign target|melanotic encapsulation of foreign target
embryonic hemocyte differentiation|embryonic plasmatocyte differentiation
embryonic hemocyte differentiation|embryonic crystal cell differentiation
larval lymph gland hemocyte differentiation|lymph gland plasmatocyte differentiation
larval lymph gland hemocyte differentiation|lymph gland crystal cell differentiation
larval lymph gland hemocyte differentiation|lamellocyte differentiation
TIRAP-dependent toll-like receptor signaling pathway|TIRAP-dependent toll-like receptor 4 signaling pathway
TRIF-dependent toll-like receptor signaling pathway|TRIF-dependent toll-like receptor 4 signaling pathway
TRAM-dependent toll-like receptor signaling pathway|TRAM-dependent toll-like receptor 4 signaling pathway
helper T cell extravasation|T-helper 1 cell extravasation
helper T cell extravasation|T-helper 17 cell extravasation
helper T cell diapedesis|T-helper 1 cell diapedesis
CD8-positive, alpha-beta T cell extravasation|T-helper 1 cell extravasation
CD8-positive, alpha-beta T cell extravasation|CD8-positive, alpha-beta cytotoxic T cell extravasation
CD8-positive, alpha-beta T cell extravasation|T-helper 17 cell extravasation
helper T cell chemotaxis|T-helper 17 cell chemotaxis
helper T cell chemotaxis|T-helper 1 cell chemotaxis
helper T cell chemotaxis|T-helper 2 cell chemotaxis
CD4-positive, alpha-beta T cell activation|T-helper 1 cell activation
CD4-positive, alpha-beta T cell activation|T-helper 2 cell activation
CD4-positive, alpha-beta T cell activation|CD4-positive, alpha-beta T cell proliferation
CD4-positive, alpha-beta T cell activation|CD4-positive, alpha-beta T cell differentiation
CD4-positive, alpha-beta T cell proliferation|activated CD4-positive, alpha-beta T cell proliferation
CD8-positive, alpha-beta T cell proliferation|activated CD8-positive, alpha-beta T cell proliferation
CD4-positive, alpha-beta T cell cytokine production|T-helper 1 cell cytokine production
CD4-positive, alpha-beta T cell cytokine production|T-helper 2 cell cytokine production
natural killer cell chemotaxis|mature natural killer cell chemotaxis
B cell chemotaxis|B cell chemotaxis across high endothelial venule
CD8-positive, alpha-beta T cell activation|CD8-positive, alpha-beta T cell proliferation
CD8-positive, alpha-beta T cell activation|CD8-positive, alpha-beta T cell differentiation
granulocyte activation|neutrophil activation
granulocyte activation|eosinophil activation
granulocyte activation|basophil activation
dendritic cell migration|dendritic cell chemotaxis
cytoplasmic pattern recognition receptor signaling pathway in response to virus|RIG-I signaling pathway
cytoplasmic pattern recognition receptor signaling pathway in response to virus|MDA-5 signaling pathway
T-helper cell differentiation|T-helper 1 cell differentiation
T-helper cell differentiation|T-helper 2 cell differentiation
T-helper cell differentiation|T follicular helper cell differentiation
T-helper cell differentiation|T-helper 17 cell differentiation
T cell proliferation|T cell homeostatic proliferation
T cell proliferation|T cell proliferation involved in immune response
T cell proliferation|immature T cell proliferation
T cell proliferation|gamma-delta T cell proliferation
T cell proliferation|alpha-beta T cell proliferation
T cell proliferation|activated T cell proliferation
T cell proliferation|memory T cell proliferation
B cell proliferation|B cell proliferation involved in immune response
B cell proliferation|B cell homeostatic proliferation
B cell proliferation|B-1 B cell proliferation
T cell activation|T cell activation involved in immune response
T cell activation|T cell differentiation
T cell activation|memory T cell activation
T cell activation|T cell proliferation
T cell activation|gamma-delta T cell activation
T cell activation|alpha-beta T cell activation
B cell activation|B cell activation involved in immune response
B cell activation|B cell differentiation
B cell activation|B cell proliferation
macrophage activation|microglial cell activation
macrophage activation|macrophage activation involved in immune response
monocyte activation|monocyte activation involved in immune response
neutrophil activation|neutrophil activation involved in immune response
hemocyte differentiation|embryonic hemocyte differentiation
hemocyte differentiation|larval lymph gland hemocyte differentiation
hemocyte differentiation|plasmatocyte differentiation
hemocyte differentiation|crystal cell differentiation
plasmatocyte differentiation|embryonic plasmatocyte differentiation
plasmatocyte differentiation|lymph gland plasmatocyte differentiation
plasmatocyte differentiation|lamellocyte differentiation
gamma-delta T cell differentiation|gamma-delta T cell differentiation involved in immune response
gamma-delta T cell differentiation|gamma-delta intraepithelial T cell differentiation
antigen processing and presentation of exogenous peptide antigen via MHC class I|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
antigen processing and presentation of exogenous peptide antigen via MHC class I|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent
crystal cell differentiation|embryonic crystal cell differentiation
crystal cell differentiation|lymph gland crystal cell differentiation
myeloid dendritic cell differentiation|myeloid dendritic cell differentiation involved in immune response
myeloid dendritic cell differentiation|Langerhans cell differentiation
leukocyte degranulation|basophil degranulation
leukocyte degranulation|mast cell degranulation
leukocyte degranulation|eosinophil degranulation
leukocyte degranulation|neutrophil degranulation
leukocyte degranulation|cytotoxic T cell degranulation
leukocyte degranulation|natural killer cell degranulation
eosinophil activation|eosinophil activation involved in immune response
CD4-positive, alpha-beta T cell differentiation|CD4-positive, alpha-beta T cell differentiation involved in immune response
CD4-positive, alpha-beta T cell differentiation|CD4-positive, alpha-beta intraepithelial T cell differentiation
CD4-positive, alpha-beta T cell differentiation|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
positive T cell selection|positive thymic T cell selection
positive T cell selection|positive extrathymic T cell selection
CD8-positive, alpha-beta T cell differentiation|CD8-positive, alpha-beta intraepithelial T cell differentiation
CD8-positive, alpha-beta T cell differentiation|CD8-positive, alpha-beta T cell differentiation involved in immune response
CD8-positive, alpha-beta T cell differentiation|CD8-positive, alpha-beta regulatory T cell differentiation
CD8-positive, alpha-beta T cell differentiation|CD8-positive, alpha-beta cytotoxic T cell differentiation
negative T cell selection|negative thymic T cell selection
negative T cell selection|negative extrathymic T cell selection
T cell selection|beta selection
T cell selection|positive T cell selection
T cell selection|negative T cell selection
T cell selection|thymic T cell selection
T cell selection|extrathymic T cell selection
thymic T cell selection|positive thymic T cell selection
thymic T cell selection|negative thymic T cell selection
extrathymic T cell selection|positive extrathymic T cell selection
extrathymic T cell selection|negative extrathymic T cell selection
cytotoxic T cell differentiation|CD8-positive, alpha-beta cytotoxic T cell differentiation
regulatory T cell differentiation|CD8-positive, alpha-beta regulatory T cell differentiation
regulatory T cell differentiation|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
innate immune response|complement activation, lectin pathway
innate immune response|innate immune response in mucosa
innate immune response|natural killer cell mediated immunity
innate immune response|complement activation, alternative pathway
innate immune response|virus induced gene silencing
innate immune response|plant-type hypersensitive response
innate immune response|induced systemic resistance
innate immune response|defense response, incompatible interaction
innate immune response|melanization defense response
innate immune response|hemolymph coagulation
innate immune response|age-related resistance
cellular extravasation|monocyte extravasation
cellular extravasation|neutrophil extravasation
cellular extravasation|eosinophil extravasation
cellular extravasation|T cell extravasation
isotype switching|isotype switching to IgE isotypes
isotype switching|isotype switching to IgA isotypes
isotype switching|isotype switching to IgG isotypes
isotype switching|isotype switching to IgD isotypes
leukocyte activation|leukocyte activation involved in inflammatory response
leukocyte activation|plasmacytoid dendritic cell activation
leukocyte activation|myeloid leukocyte activation
leukocyte activation|leukocyte activation involved in immune response
leukocyte activation|lymphocyte activation
leukocyte activation|leukocyte adhesive activation
leukocyte activation|T cell aggregation
basophil activation|basophil activation involved in immune response
mast cell activation|mast cell activation involved in immune response
gamma-delta T cell activation|gamma-delta T cell activation involved in immune response
gamma-delta T cell activation|gamma-delta T cell differentiation
gamma-delta T cell activation|gamma-delta T cell proliferation
gamma-delta T cell proliferation|gamma-delta T cell proliferation involved in immune response
alpha-beta T cell activation|alpha-beta T cell activation involved in immune response
alpha-beta T cell activation|CD4-positive, alpha-beta T cell activation
alpha-beta T cell activation|CD8-positive, alpha-beta T cell activation
alpha-beta T cell activation|alpha-beta T cell activation by superantigen
alpha-beta T cell activation|alpha-beta T cell differentiation
alpha-beta T cell activation|alpha-beta T cell proliferation
alpha-beta T cell activation|NK T cell activation
alpha-beta T cell differentiation|NK T cell differentiation
alpha-beta T cell differentiation|alpha-beta T cell differentiation involved in immune response
alpha-beta T cell differentiation|alpha-beta intraepithelial T cell differentiation
alpha-beta T cell differentiation|CD4-positive, alpha-beta T cell differentiation
alpha-beta T cell differentiation|CD8-positive, alpha-beta T cell differentiation
alpha-beta T cell proliferation|NK T cell proliferation
alpha-beta T cell proliferation|alpha-beta T cell proliferation involved in immune response
alpha-beta T cell proliferation|CD4-positive, alpha-beta T cell proliferation
alpha-beta T cell proliferation|CD8-positive, alpha-beta T cell proliferation
lymphocyte activation|lymphocyte activation involved in immune response
lymphocyte activation|lymphocyte differentiation
lymphocyte activation|natural killer cell activation
lymphocyte activation|T cell activation
lymphocyte activation|B cell activation
lymphocyte activation|lymphocyte proliferation
lymphocyte proliferation|natural killer cell proliferation
lymphocyte proliferation|T cell proliferation
lymphocyte proliferation|B cell proliferation
lymphocyte proliferation|dendritic cell proliferation
antigen processing and presentation of peptide antigen|antigen processing and presentation of peptide antigen via MHC class Ib
antigen processing and presentation of peptide antigen|antigen processing and presentation of peptide antigen via MHC class I
antigen processing and presentation of peptide antigen|antigen processing and presentation of exogenous peptide antigen
antigen processing and presentation of peptide antigen|antigen processing and presentation of endogenous peptide antigen
antigen processing and presentation of peptide antigen|antigen processing and presentation of peptide antigen via MHC class II
antigen processing and presentation of lipid antigen via MHC class Ib|antigen processing and presentation, endogenous lipid antigen via MHC class Ib
antigen processing and presentation of lipid antigen via MHC class Ib|antigen processing and presentation, exogenous lipid antigen via MHC class Ib
lymphocyte chemotaxis|lymphocyte chemotaxis across high endothelial venule
lymphocyte chemotaxis|T cell chemotaxis
lymphocyte chemotaxis|natural killer cell chemotaxis
lymphocyte chemotaxis|B cell chemotaxis
isotype switching to IgE isotypes|interleukin-4-dependent isotype switching to IgE isotypes
antigen receptor-mediated signaling pathway|T cell receptor signaling pathway
antigen receptor-mediated signaling pathway|B cell receptor signaling pathway
B cell receptor signaling pathway|B cell receptor apoptotic signaling pathway
leukocyte migration|leukocyte migration involved in immune response
leukocyte migration|leukocyte migration involved in inflammatory response
leukocyte migration|leukocyte chemotaxis
leukocyte migration|dendritic cell migration
leukocyte migration|cellular extravasation
leukocyte migration|diapedesis
leukocyte migration|mononuclear cell migration
leukocyte migration|lymphocyte migration
leukocyte migration|myeloid leukocyte migration
diapedesis|helper T cell diapedesis
NK T cell activation|NK T cell activation involved in immune response
defense response to virus|virus induced gene silencing
myeloid leukocyte cytokine production|myeloid dendritic cell cytokine production
myeloid leukocyte cytokine production|macrophage cytokine production
myeloid leukocyte cytokine production|mast cell cytokine production
nucleotide-binding oligomerization domain containing signaling pathway|nucleotide-binding oligomerization domain containing 1 signaling pathway
nucleotide-binding oligomerization domain containing signaling pathway|nucleotide-binding oligomerization domain containing 2 signaling pathway
T cell aggregation|T cell activation
T cell aggregation|thymocyte aggregation
neutrophil mediated cytotoxicity|neutrophil mediated killing of symbiont cell
neutrophil mediated killing of symbiont cell|neutrophil mediated killing of bacterium
neutrophil mediated killing of symbiont cell|neutrophil mediated killing of fungus
neutrophil mediated killing of bacterium|neutrophil mediated killing of gram-negative bacterium
neutrophil mediated killing of bacterium|neutrophil mediated killing of gram-positive bacterium
thymocyte aggregation|T cell differentiation in thymus
thymocyte aggregation|immature T cell proliferation in thymus
granulocyte chemotaxis|basophil chemotaxis
granulocyte chemotaxis|neutrophil chemotaxis
granulocyte chemotaxis|eosinophil chemotaxis
lymphocyte migration|lymphocyte chemotaxis
lymphocyte migration|T cell migration
lymphocyte migration|lymphocyte migration into lymphoid organs
eosinophil migration|eosinophil chemotaxis
eosinophil migration|eosinophil extravasation
T cell migration|T cell chemotaxis
T cell migration|helper T cell diapedesis
T cell migration|thymocyte migration
T cell migration|T cell extravasation
thymocyte migration|extracellular matrix-dependent thymocyte migration
extracellular matrix-dependent thymocyte migration|fibronectin-dependent thymocyte migration
T cell extravasation|memory T cell extravasation
T cell extravasation|helper T cell extravasation
T cell extravasation|CD8-positive, alpha-beta T cell extravasation
lymphocyte migration into lymphoid organs|lymphocyte migration into lymph node
histamine secretion mediated by immunoglobulin|histamine secretion mediated by IgE immunoglobulin
myeloid leukocyte migration|myeloid dendritic cell chemotaxis
myeloid leukocyte migration|monocyte chemotaxis
myeloid leukocyte migration|monocyte extravasation
myeloid leukocyte migration|monocyte migration into blood stream
myeloid leukocyte migration|macrophage chemotaxis
myeloid leukocyte migration|granulocyte migration
myeloid leukocyte migration|mast cell migration
myeloid leukocyte migration|microglial cell migration
granulocyte migration|granulocyte chemotaxis
granulocyte migration|eosinophil migration
granulocyte migration|neutrophil migration
mast cell migration|mast cell chemotaxis
neutrophil migration|neutrophil chemotaxis
neutrophil migration|neutrophil extravasation
